Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2015,23,CHC,NL,151,650,559,87,154,31,5,26,99,13,4,77,199,.275,.369,.488,.858,135,273,7,9,0,5,0,*5/789H3D,ASMVP-11RoY-1
2016,24,CHC,NL,155,699,603,121,176,35,3,39,102,8,5,75,154,.292,.385,.554,.939,146,334,3,18,0,3,5,579/38D6,ASMVP-1
2017,25,CHC,NL,151,665,549,111,162,38,4,29,73,7,5,95,128,.295,.409,.537,.946,142,295,8,15,0,6,5,*5/9387H,MVP-7
2018,26,CHC,NL,102,457,389,59,106,28,3,13,52,2,4,48,107,.272,.374,.460,.834,121,179,5,17,0,3,6,597/3H,
2019,27,CHC,NL,147,634,543,108,153,35,1,31,77,4,0,74,145,.282,.382,.521,.903,132,283,10,15,0,2,1,*597/3DH,AS
2020,28,CHC,NL,34,147,131,20,27,5,1,4,11,0,0,12,40,.206,.293,.351,.644,73,46,1,4,0,0,0,5/7D3,
